title,genres,keywords,tagline,cast,director
Very Bad Things,Comedy Crime Thriller,prostitute hotel cocaine nudity psychopath,They've been bad. Very bad.,Jon Favreau Leland Orser Cameron Diaz Christian Slater Jeremy Piven,Peter Berg
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,Witness the Origin.,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
1941,Action Comedy,submarine california world war ii war ship pearl harbor,Paranoia meets pandemonium.,Dan Aykroyd Ned Beatty John Belushi Lorraine Gary Murray Hamilton,Steven Spielberg
Soul Food,Comedy Drama,sister family relationships unity,There's Plenty For Everyone!,Vivica A. Fox Nia Long Michael Beach Mekhi Phifer Brandon Hammond,"George Tillman, Jr."
Journey to the Center of the Earth,Action Science Fiction Adventure Comedy Family,volcano prehistoric dinosaur prehistoric creature 3d,Same Planet. Different World.,Brendan Fraser Josh Hutcherson Anita Briem Seth Meyers Jean Michel Par\u00e9,Eric Brevig
Brick Lane,Drama,arranged marriage independent film bangladesh september 11 2001 woman director,,Tannishtha Chatterjee Satish Kaushik Christopher Simpson Naeema Begum Lana Rahman,Sarah Gavron
The Devil Inside,Thriller Horror,rome exorcism death demonic possession found footage,No soul is safe.,Fernanda Andrade Simon Quarterman Evan Helmuth Ionut Grama Suzan Crowley,William Brent Bell
The Grey,Action Drama Thriller,alcohol isolation wolf wilderness forest,Live or Die on This Day,Liam Neeson Dermot Mulroney Frank Grillo Dallas Roberts Joe Anderson,Joe Carnahan
Bobby Jones: Stroke of Genius,Drama,sport,,Jim Caviezel Claire Forlani Jeremy Northam Malcolm McDowell Aidan Quinn,Rowdy Herrington
Big Trouble in Little China,Action Adventure Comedy Fantasy,kung fu chinatown magic mystery,Adventure doesn't come any bigger!,Kurt Russell Kim Cattrall Dennis Dun James Hong Victor Wong,John Carpenter
Crash,Drama,race politics daughter installer police fall,You think you know who you are. You have no idea.,Sandra Bullock Don Cheadle Matt Dillon Michael Pe\u00f1a Jennifer Esposito,Paul Haggis
When a Stranger Calls,Horror Thriller,babysitter death of a friend killer strange person call,"Whatever You Do, Don't Answer The Phone.",Camilla Belle Katie Cassidy Tommy Flanagan Brian Geraghty Clark Gregg,Simon West
Ace Ventura: When Nature Calls,Crime Comedy Adventure,africa indigenous human animal relationship bat,New animals. New adventures. Same hair.,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Steve Oedekerk
The Color Purple,Drama,prison africa southern usa rape black people,It's about life. It's about love. It's about us.,Whoopi Goldberg Margaret Avery Danny Glover Akosua Busia Oprah Winfrey,Steven Spielberg
Fuel,Documentary Drama,energy policy consumption automobile industry independent film nature,,Joshua Tickell Barbara Boxer Richard Branson George W. Bush Sheryl Crow,Joshua Tickell
Surf's Up,Animation Comedy Family,sea world cup surfer wave surfboard,"In the coldest place on Earth, he's the hottest thing around.",Shia LaBeouf Jeff Bridges Zooey Deschanel Jon Heder James Woods,Ash Brannon
The Inkwell,Comedy Drama Romance,,Summer's Never Been So Much Fun!,Larenz Tate Joe Morton Suzzanne Douglas Glynn Turman Vanessa Bell Calloway,Matty Rich
Better Luck Tomorrow,Crime Drama,,Never underestimate an overachiever.,Parry Shen Jason Tobin Sung Kang Karin Anna Cheung Roger Fan,Justin Lin
Gladiator,Action Drama Adventure,rome gladiator arena senate roman empire,A Hero Will Rise.,Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed Richard Harris,Ridley Scott
Beauty Shop,Comedy Romance,,A Cut Above,Queen Latifah Alicia Silverstone Andie MacDowell Alfre Woodard Mena Suvari,Bille Woodruff
Modern Problems,Comedy,,,Chevy Chase Patti D'Arbanville Dabney Coleman Mary Kay Place Nell Carter,Ken Shapiro
Fish Tank,Drama,dancing mother alcohol sex adultery,"Live, love and give as good as you get.",Katie Jarvis Michael Fassbender Kierston Wareing Rebecca Griffiths Harry Treadaway,Andrea Arnold
The Mudge Boy,Drama,chicken bullying rape of a male misfit homosexuality,,Emile Hirsch Tom Guiry Richard Jenkins Pablo Schreiber Zachary Knighton,Michael Burke
Rabbit-Proof Fence,Adventure Drama Action History,child abuse sister sister relationship prosecution australia approved school ,"Follow Your Heart, Follow The Fence",Everlyn Sampi Tianna Sansbury Laura Monaghan Kenneth Branagh David Gulpilil,Phillip Noyce
Turbulence,Action Thriller Crime,stewardess airplane shootout air marshal christmas,"If you weren't afraid of flying before, you will be now.",Ray Liotta Lauren Holly Brendan Gleeson H\u00e9ctor Elizondo Rachel Ticotin,Robert Butler
Won't Back Down,Drama,based on true story,If you can't beat the system... change it,Viola Davis Maggie Gyllenhaal Ving Rhames Lance Reddick Rosie Perez,Daniel Barnz
Bullets Over Broadway,Action Comedy Thriller,lover (female) talent mafia boss author,,John Cusack Dianne Wiest Jennifer Tilly Chazz Palminteri Mary-Louise Parker,Woody Allen
"Peace, Propaganda & the Promised Land",Documentary,,,,Sut Jhally
Hell's Angels,Action Drama History,world war i zeppelin royal air force royal flying corps dogfight,Howard Hughes' Thrilling Multi-Million Dollar Air Spectacle,Ben Lyon James Hall Jean Harlow John Darrow Lucien Prival,James Whale
Cube,Thriller Science Fiction Mystery,riddle autism claustrophobia maze prime number,Don't look for a reason... Look for a way out.,Nicole de Boer Nicky Guadagni David Hewlett Andrew Miller Julian Richings,Vincenzo Natali
Veronica Guerin,Drama Crime Thriller,journalism police drug scene murder drug lord,Why would anyone want to kill Veronica Guerin?,Cate Blanchett Gerard McSorley Ciar\u00e1n Hinds Brenda Fricker Don Wycherley,Joel Schumacher
The Wolf of Wall Street,Crime Drama Comedy,corruption sex sexuality bank humor,EARN. SPEND. PARTY.,Leonardo DiCaprio Jonah Hill Margot Robbie Kyle Chandler Rob Reiner,Martin Scorsese
Contagion,Drama Thriller Science Fiction,saving the world mutation infection terminal illness quarantine,Nothing spreads like fear,Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard,Steven Soderbergh
Cheri,Drama Comedy Romance,,,Michelle Pfeiffer Kathy Bates Rupert Friend Felicity Jones Iben Hjejle,Stephen Frears
Stir of Echoes,Horror Mystery Thriller,secret obsession paranoia grave haunted house,In every mind there is a door that should never be opened.,Kevin Bacon Kathryn Erbe Illeana Douglas Kevin Dunn Conor O'Farrell,David Koepp
Thunderbirds,Action Adventure Comedy Family Fantasy,secret organization based on tv series golden gate bridge locker oil rig\u00a0,,Brady Corbet Soren Fulton Debora Weston Lou Hirsch Alex Barringer,Jonathan Frakes
The Snow Queen,Animation Fantasy,,"Cold can freeze your heart, love can set you free",Ivan Okhlobystin Dmitriy Nagiev Lyudmila Artemeva Anna Ardova Elizaveta Arzamasova,Vladlen Barbe
Alien³,Science Fiction Action Horror,prison android spacecraft space marine imprisonment,The bitch is back.,Sigourney Weaver Charles S. Dutton Charles Dance Pete Postlethwaite Ralph Brown,David Fincher
Tango & Cash,Action Adventure Comedy,prisoner war on drugs los angeles,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,Sylvester Stallone Kurt Russell Teri Hatcher Jack Palance Brion James,Andrei Konchalovsky
The Dark Hours,Horror Science Fiction Thriller,canada winter hostage olympic games cabin,,Kate Greenhouse Aidan Devine Gordon Currie Iris Graham Dov Tiefenbach,Paul Fox
The Good Thief,Crime Drama Thriller,casino monte carlo painting caper independent film,He doesn't want money. He wants what money can't buy.,Nick Nolte Tch\u00e9ky Karyo Nutsa Kukhianidze Marc Lavoine Sa\u00efd Taghmaoui,Neil Jordan
Deuce Bigalow: Male Gigolo,Comedy,fish aquarium carnival house callboy,He charges $10 but he’s willing to negotiate.,Rob Schneider William Forsythe Eddie Griffin Arija Bareikis Oded Fehr,Mike Mitchell
Blood Done Sign My Name,Drama Crime,,No one changes the world alone.,Natalie Alyn Lind Michael Rooker Emily Alyn Lind Omar Benson Miller Lee Norris,Jeb Stuart
Crooklyn,Comedy Drama,black people 1970s jazz musician stra\u00dfenkids dysfunctional family,,Alfre Woodard Delroy Lindo David Patrick Kelly Zelda Harris Carlton Williams,Spike Lee
Casablanca,Drama Romance,love triangle corruption spy resistance casablanca,They had a date with fate in Casablanca!,Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains Conrad Veidt,Michael Curtiz
Never Again,Comedy Romance,romantic comedy,A mature love story for immature people.,Jeffrey Tambor Jill Clayburgh Caroline Aaron Bill Duke Sandy Duncan,Eric Schaeffer
Volcano,Science Fiction Action Drama Thriller,subway lava volcano volcanologist los angeles,The coast is toast,Tommy Lee Jones Anne Heche Gaby Hoffmann Don Cheadle Joshua Fardon,Mick Jackson
Wristcutters: A Love Story,Comedy Drama Fantasy Romance,independent film break-up ex-boyfriend ex-girlfriend relationship rolling a cigarette autocide,"Life is a trip, but the afterlife is one hell of a ride",Patrick Fugit Shannyn Sossamon Shea Whigham Leslie Bibb Will Arnett,Goran Dukic
The X Files,Mystery Science Fiction Thriller,bomb helicopter secret obsession extraterrestrial technology,Fight the Future,David Duchovny Gillian Anderson Mitch Pileggi William B. Davis John Neville,Rob Bowman
Ride Along 2,Action Comedy,police sequel police officer brother-in-law brother-in-law relationship black men,The brothers-in-law are back,Kevin Hart Ice Cube Olivia Munn Tika Sumpter Ken Jeong,Tim Story
Blood and Wine,Crime Drama Thriller,robbery gun fight love murder,There is no honour amongst thieves.,Jack Nicholson Stephen Dorff Jennifer Lopez Judy Davis Michael Caine,Bob Rafelson
The Santa Clause,Fantasy Drama Comedy Family,holiday christmas party santa claus deal christmas tree,What if your dad was Santa Claus?,Tim Allen Judge Reinhold Wendy Crewson David Krumholtz Peter Boyle,John Pasquin
Before Midnight,Romance Drama,hotel airport hotel room greece dream,Everything's better with maturity.,Ethan Hawke Julie Delpy Seamus Davey-Fitzpatrick Jennifer Prior Charlotte Prior,Richard Linklater
Mrs Henderson Presents,Comedy Drama,world war ii widow musical theatre milieu nacktrevue,,Judi Dench Bob Hoskins Will Young Christopher Guest Kelly Reilly,Stephen Frears
Glory,War,war racism battle union soldier confederate soldier,Their innocence. Their heritage. Their lives.,Matthew Broderick Denzel Washington Cary Elwes Morgan Freeman Jihmi Kennedy,Edward Zwick
Namastey London,Drama Foreign Romance,,,Akshay Kumar Katrina Kaif Rishi Kapoor Clive Standen Upen Patel,Vipul Amrutlal Shah
Charlie St. Cloud,Drama,brother brother relationship based on novel sailing ghost young adult,Life is for living.,Zac Efron Amanda Crew Charlie Tahan Augustus Prew Donal Logue,Burr Steers
Winter's Tale,Drama Fantasy Mystery Romance,based on novel,This is not a true story. This is true love.,Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly,Akiva Goldsman
Two Can Play That Game,Comedy Romance,,,Vivica A. Fox Morris Chestnut Anthony Anderson Gabrielle Union Wendy Raquel Robinson,Mark Brown
You Will Meet a Tall Dark Stranger,Comedy Drama Romance,,,Gemma Jones Anthony Hopkins Naomi Watts Josh Brolin Antonio Banderas,Woody Allen
Hoffa,Crime History,policy and organisations power trade union gangster,,Jack Nicholson Danny DeVito Armand Assante J. T. Walsh John C. Reilly,Danny DeVito
The BFG,Adventure Family Fantasy,london england england based on novel queen little girl,The world is more giant than you can imagine.,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg
Cradle Will Rock,Drama,,,Hank Azaria Rub\u00e9n Blades Joan Cusack John Cusack Bill Murray,Tim Robbins
World War Z,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,Remember Philly!,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
Flicka,Drama,horse,,Tim McGraw Maria Bello Armie Hammer Alison Lohman Ryan Kwanten,Michael Mayer
Spotlight,Drama Thriller History,child abuse journalism judge florida boston,Break the story. Break the silence.,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Tom McCarthy
The Hit List,Action Thriller,,Who's on your list?,Cuba Gooding Jr. Cole Hauser Jonathan LaPaglia Ginny Weirick Sean Cook,William Kaufman
Burn After Reading,Comedy Drama,blackmail paranoia fitness-training plastic surgery autobiography,Intelligence is relative.,George Clooney Frances McDormand Brad Pitt John Malkovich Tilda Swinton,Joel Coen
A Thin Line Between Love and Hate,Comedy Thriller Crime Romance,revenge african american dating,"When you play, you pay.",Lynn Whitfield Martin Lawrence Regina King Della Reese Bobby Brown,Martin Lawrence
Igby Goes Down,Comedy Drama,father son relationship patenonkel independent film falling in love,Insanity is relative.,Kieran Culkin Claire Danes Jeff Goldblum Jared Harris Amanda Peet,Burr Steers
Seven Psychopaths,Comedy Crime,suicide alcohol sex screenwriter underworld,They Won't Take Any Shih Tzu.,Colin Farrell Sam Rockwell Woody Harrelson Christopher Walken Tom Waits,Martin McDonagh
Step Up Revolution,Music Drama Romance,flash mob dance instructor real estate development nike dance company,One Step Can Change Your World,Kathryn McCormick Ryan Guzman Stephen Boss Megan Boone Jessica Guadix,Scott Speer
Trainspotting,Drama Crime,london england alcohol sex based on novel drug addiction,Choose life.,Ewan McGregor Ewen Bremner Jonny Lee Miller Robert Carlyle Kelly Macdonald,Danny Boyle
Beneath the Planet of the Apes,Adventure Science Fiction Mystery,mutant dystopia survivor astronaut ape,An army of civilized apes...A fortress of radiation-crazed super humans...Earth's final battle is about to begin - Beneath the atomic rubble of what was once the city of New York!,James Franciscus Kim Hunter Maurice Evans Linda Harrison Charlton Heston,Ted Post
Doubt,Drama Mystery,sexual abuse boy wine gift janitor,"There is no evidence. There are no witnesses. But for one, there is no doubt.",Meryl Streep Philip Seymour Hoffman Amy Adams Viola Davis Alice Drummond,John Patrick Shanley
Annabelle,Horror,prequel evil doll killer doll spin off doll,"Before the Conjuring, there was Annabelle.",Annabelle Wallis Ward Horton Tony Amendola Alfre Woodard Eric Ladin,John R. Leonetti
Of Gods and Men,Drama History,monk sunrise medicine hostage evacuation,"In the face of terror, their greatest weapon was faith...",Lambert Wilson Michael Lonsdale Olivier Rabourdin Philippe Laudenbach Jacques Herlin,Xavier Beauvois
Let's Kill Ward's Wife,Comedy,wife murder murder plot,Real Friends Do the Dirty Work.,Patrick Wilson Scott Foley Amy Acker Donald Faison Dagmara Domi\u0144czyk,Scott Foley
B-Girl,Crime Drama Music,dancing hip-hop b-girl street dance b-boying,,Julie 'Jules' Urich Missy Yager Wesley Jonathan Drew Sidora Aimee Garcia,Emily Dell
Unbroken,Drama War,world war ii prisoners of war biography sport war,Survival. Resilience. Redemption.,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
Tim and Eric's Billion Dollar Movie,Comedy,restaurant wolf shopping mall filmmaker billion dollars,,Eric Wareheim Tim Heidecker John C. Reilly Zach Galifianakis Will Ferrell,Tim Heidecker
Sholem Aleichem: Laughing In The Darkness,Documentary,,"Before there was Fiddler, there was Tevye... and the man who created him.",Rachel Dratch Hillel Halkin Jason Kravitz Dan Miron Peter Riegert,Joseph Dorman
Atonement,Drama Romance,based on novel sister sister relationship flirt loss of sister new love,Torn apart by betrayal. Separated by war. Bound by love.,Keira Knightley James McAvoy Romola Garai Saoirse Ronan Brenda Blethyn,Joe Wright
Doogal,Family,,Things are about to get hairy.,Daniel Tay Jimmy Fallon Jon Stewart Whoopi Goldberg William H. Macy,Frank Passingham
Gentlemen Broncos,Action Comedy Thriller,writing plagiarism independent film homeschooling aftercreditsstinger,"Oinus, Ainous, Anous, Odious.",Michael Angarano Sam Rockwell Clive Revill Jemaine Clement Jennifer Coolidge,Jared Hess
Hatchet,Comedy Horror,new orleans alligator male friendship ax swampf,Stay out of the swamp.,Joel David Moore Tamara Feldman Deon Richmond Kane Hodder Mercedes McNab,Adam Green
The Californians,Drama Comedy,,All is fair in love and real estate.,Noah Wyle Illeana Douglas Kate Mara Cloris Leachman Joanne Whalley,Jonathan Parker
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Documentary,new york beckenbauer pele,The untold story of the team that had America at its feet.,Pel\u00e9 Franz Beckenbauer Carlos Alberto Raphael de la Sierra Phil Woosnam,Paul Crowder
A Cinderella Story,Comedy,jealousy cinderella work step mother high school,Once upon a time... can happen any time.,Hilary Duff Jennifer Coolidge Chad Michael Murray Dan Byrd Regina King,Mark Rosman
Bobby,History Drama,hotel senator kitchen marriage crisis politics,He saw wrong and tried to right it. He saw suffering and tried to heal it. He saw war and tried to stop it.,Anthony Hopkins Heather Graham Ashton Kutcher Mary Elizabeth Winstead Helen Hunt,Emilio Estevez
Deep Blue Sea,Action Science Fiction Thriller,shark attack shark alzheimer's disease killer shark no opening credits,Bigger. Smarter. Faster. Meaner.,Thomas Jane Saffron Burrows LL Cool J Michael Rapaport Samuel L. Jackson,Renny Harlin
Scream 3,Horror Mystery,mask metal detector film director ex-cop reporter,Someone has taken their love of trilogies one step too far.,David Arquette Neve Campbell Courteney Cox Patrick Dempsey Scott Foley,Wes Craven
Bride of Chucky,Horror Comedy,route 66 puppet evil doll killer doll killer toys,Chucky Gets Lucky.,Ed Gale Jennifer Tilly Brad Dourif Katherine Heigl Nick Stabile,Ronny Yu
The Barbarian Invasions,Comedy Crime Drama,father son relationship socialism yuppie professor dying and death,"A provocative new comedy about sex, friendship, and all other things that invade our lives.",R\u00e9my Girard St\u00e9phane Rousseau Marie-Jos\u00e9e Croze Doroth\u00e9e Berryman Louise Portal,Denys Arcand
Shanghai Noon,Adventure Action Comedy Western,princess sioux travel rescue native american,The old west meets the far east.,Jackie Chan Owen Wilson Lucy Liu Xander Berkeley Roger Yuan,Tom Dey
The Departed,Drama Thriller Crime,undercover boston police friends mafia,Lies. Betrayal. Sacrifice. How far will you take it?,Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg Martin Sheen,Martin Scorsese
Halloween: Resurrection,Horror Thriller,brother sister relationship innocence serial killer michael myers,Evil finds its way home,Jamie Lee Curtis Brad Loree Busta Rhymes Bianca Kajlich Katee Sackhoff,Rick Rosenthal
The Deer Hunter,Drama War,vietnam veteran pennsylvania vietnam party escape,One of the most important and powerful films of all time!,Robert De Niro John Cazale John Savage Christopher Walken Meryl Streep,Michael Cimino
Assault on Precinct 13,Thriller,drug abuse mexican standoff junkie prison cell snow storm,Unite and fight.,Ethan Hawke Laurence Fishburne Gabriel Byrne Maria Bello Drea de Matteo,Jean-Fran\u00e7ois Richet
Mama,Horror,supernatural horror,A Mother's Love is Forever,Jessica Chastain Nikolaj Coster-Waldau Megan Charpentier Isabelle N\u00e9lisse Daniel Kash,Andy Muschietti
Point Break,Action Crime Thriller,undercover undercover agent extreme sports fbi agent 3d,The only law that matters is gravity,Edgar Ram\u00edrez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,Ericson Core
Ice Princess,Drama Comedy Family,sport figure skating teenage girl teen movie teenager,,Michelle Trachtenberg Joan Cusack Amy Stewart Hayden Panettiere Kim Cattrall,Tim Fywell
The Sessions,Drama Romance Comedy,cat virgin narration wheelchair graduation,The festival hit of the year!,John Hawkes Helen Hunt William H. Macy Moon Bloodgood Annika Marks,Ben Lewin
Captive,Crime Drama Thriller,hostage based on true story murder independent film single mother,Faith. Redemption. Survival.,Kate Mara David Oyelowo Michael Kenneth Williams Mimi Rogers Leonor Varela,Jerry Jameson
C.H.U.D.,Horror Science Fiction,monster mutant shower police blood splatter,They're not staying down there anymore!,John Heard Daniel Stern Christopher Curry Kim Greist Laure Mattos,Douglas Cheek
The Skeleton Twins,Drama,new york adultery confession brother sister relationship infidelity,Family is a cruel joke.,Kristen Wiig Bill Hader Luke Wilson Ty Burrell Boyd Holbrook,Craig Johnson
Come Early Morning,Drama Romance,bar motel one-night stand beer blonde,"Before you fall in love, you need to love yourself.",Ashley Judd Laura Prepon Jeffrey Donovan Stacy Keach Scott Wilson,Joey Lauren Adams
Restoration,Horror,,,Emily Roya O'Brien Adrian Gaeta Zack Ward Sarah Ann Schultz,Zack Ward
Horrible Bosses 2,Comedy,prison kidnapping sequel car chase sex addict,New Crime. Same Tools.,Jason Bateman Jason Sudeikis Charlie Day Jennifer Aniston Kevin Spacey,Sean Anders
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),Witness the defining chapter of the Middle-Earth saga,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
After,Mystery Thriller,coma crash accepting death,,Steven Strait Karolina Wydra Sandra Ellis Lafferty Ric Reitz Jackson Walker,Ryan Smith
The Client,Drama Thriller Crime Mystery,suicide brother brother relationship witness protection principal witness  brother,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,Susan Sarandon Tommy Lee Jones Mary-Louise Parker Anthony LaPaglia Bradley Whitford,Joel Schumacher
The Hours,Drama,london england suicide gay poetry aids,The time to hide is over. The time to regret is gone. The time to live is now.,Nicole Kidman Julianne Moore Meryl Streep Stephen Dillane Miranda Richardson,Stephen Daldry
The Great Escape,Adventure Drama History Thriller War,based on novel optimism switzerland baseball famous score,Put a fence in front of these men... and they'll climb it!,Steve McQueen James Garner Richard Attenborough James Donald Charles Bronson,John Sturges
Something's Gotta Give,Drama Comedy Romance,age difference ladykiller woman director,Schmucks are people too.,Jack Nicholson Diane Keaton Keanu Reeves Frances McDormand Amanda Peet,Nancy Meyers
"To Be Frank, Sinatra at 100",Documentary,music actors legendary perfomer classic hollywood frank sinatra,,Tony Oppedisano,Simon Napier-Bell
Cry Freedom,Drama,journalist 1970s male friendship south africa apartheid,,Denzel Washington Kevin Kline Penelope Wilton Kate Hardie John Matshikiza,Richard Attenborough
Black or White,Drama,grieving widower widower,There's more to family than what you see.,Kevin Costner Jillian Estell Jennifer Ehle Gillian Jacobs Octavia Spencer,Mike Binder
Red Riding: In the Year of Our Lord 1974,Thriller Mystery Crime Drama,,"An epic tale of murder, corruption and obsession.",Andrew Garfield David Morrissey John Henshaw Anthony Flanagan Warren Clarke,Julian Jarrold
Safety Not Guaranteed,Comedy Romance Science Fiction Drama,time travel,What would you go back for?,Aubrey Plaza Mark Duplass Jake Johnson Karan Soni Jenica Bergere,Colin Trevorrow
Reign of Fire,Adventure Action Fantasy,dragon evolution fire chief animated map theatre audience,Fight Fire With Fire,Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig,Rob Bowman
The November Man,Crime Action Thriller,cia retired agent,A spy is never out of the game.,Pierce Brosnan Luke Bracey Olga Kurylenko Bill Smitrovich Amila Terzimehic,Roger Donaldson
The Prisoner of Zenda,Adventure Drama Romance,kidnapping coronation villain kingdom heir to the throne,The most thrilling swordfight ever filmed...,Ronald Colman Madeleine Carroll Raymond Massey Mary Astor Douglas Fairbanks Jr.,John Cromwell
Pulse,Horror Thriller,suicide hacker death of a friend website remake,You are now infected.,Kristen Bell Ian Somerhalder Christina Milian Rick Gonzalez Jonathan Tucker,Jim Sonzero
Lottery Ticket,Comedy,,Winning is Just the Beginning Surviving is Another Story,Shad Moss Brandon T. Jackson Naturi Naughton Loretta Devine Teairra Mari,Erik White
Battle: Los Angeles,Action Science Fiction,saving the world hero marine corps chaos retirement,It's not war. It's survival.,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman
X2,Adventure Action Science Fiction Thriller,mutant marvel comic superhero based on comic book superhuman,The time has come for those who are different to stand united.,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,Bryan Singer
Sliding Doors,Comedy Drama Fantasy Romance,double life commercial fantasy chance marketing,What if one split second sent your life in two completely different directions?.,Gwyneth Paltrow John Hannah John Lynch Jeanne Tripplehorn Zara Turner,Peter Howitt
Space Battleship Yamato,Science Fiction,,,Hiroyuki Ikeuchi Takuya Kimura Meisa Kuroki Toshir\u014d Yanagiba Tsutomu Yamazaki,Takashi Yamazaki
Dave Chappelle's Block Party,Comedy Documentary Music,black people hip-hop block party megaphone classroom,,Dave Chappelle Erykah Badu Common Yasiin Bey Bilal,Michel Gondry
Death to Smoochy,Comedy Crime Drama Thriller,corruption moderator tv show success irish mob,Get ready for an unexpected hit.,Robin Williams Catherine Keener Edward Norton Danny DeVito Jon Stewart,Danny DeVito
Kickboxer: Vengeance,Action Drama,martial arts kickboxing martial arts tournament reboot thai boxing,,Alain Moussi Dave Bautista Sara Malakul Lane Jean-Claude Van Damme Darren Shahlavi,John Stockwell
The Mothman Prophecies,Drama Horror Mystery,based on novel small town dream motel hallucination,What do you see?,Richard Gere Laura Linney Will Patton Bob Tracey Debra Messing,Mark Pellington
Somewhere,Comedy Drama,milan independent film luxury hotel man in towel\u00a0 woman director,,Stephen Dorff Chris Pontius Erin Wasson Alexandra Williams Nathalie Fay,Sofia Coppola
Dear Frankie,Drama Family,scotland father son relationship single parent loss of father violent father,,Gerard Butler Emily Mortimer Jack McElhone Sharon Small Katy Murphy,Shona Auerbach
Exorcist: The Beginning,Horror Mystery Thriller,secret obsession exorcism remake priest,Go back to where the horror began.,Stellan Skarsg\u00e5rd Izabella Scorupco James D'Arcy Julian Wadham Remy Sweeney,Renny Harlin
Star Trek: First Contact,Science Fiction Action Adventure Thriller,federation starfleet borg enterprise-e cyborg,Resistance is futile.,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
The First Great Train Robbery,Thriller Adventure Drama Crime,public hanging strongbox gold theft british history historic figure,Never have so few taken so much from so many.,Sean Connery Donald Sutherland Lesley-Anne Down Alan Webb Malcolm Terris,Michael Crichton
30 Minutes or Less,Action Adventure Comedy,pizza delivery adventure pizza boy number in title comedy,A lot can happen in 30 minutes.,Jesse Eisenberg Danny McBride Aziz Ansari Bianca Kajlich Nick Swardson,Ruben Fleischer
Elektra,Action Fantasy,martial arts based on comic book female assassin spin off,Looks can kill,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp,Rob Bowman
40 Days and 40 Nights,Comedy Romance,sex addiction laundromat,Easier said than done.,Josh Hartnett Shannyn Sossamon Adam Trese Emmanuelle Vaugier Barry Newman,Michael Lehmann
The Reaping,Horror,river miracle bible louisiana frog,What Hath God Wrought?,Hilary Swank David Morrissey Idris Elba AnnaSophia Robb Stephen Rea,Stephen Hopkins
The Married Woman,Drama Romance,sandstorm woman godard married,She Loves Two Men... She is Married to One!,Macha M\u00e9ril Bernard No\u00ebl Philippe Leroy Christophe Bourseiller Roger Leenhardt,Jean-Luc Godard
Kangaroo Jack,Comedy Adventure Crime,money delivery fool australia hoodlum kangaroo,He stole the money... And he's not giving it back.,Jerry O'Connell Anthony Anderson Estella Warren Christopher Walken Michael Shannon,David McNally
The Mask,Romance Comedy Crime Fantasy,dual identity bank mockery green balloon,From zero to hero.,Jim Carrey Cameron Diaz Nancy Fish Tim Bagley Johnny Williams,Chuck Russell
Narc,Action Crime Drama Thriller,assertion investigation internal affairs narcotics cop,,Jason Patric Ray Liotta Chi McBride Busta Rhymes Lloyd Adams,Joe Carnahan
Fiddler on the Roof,Drama Romance,tradition dream musical pogrom mother daughter relationship,To Life!,Chaim Topol Norma Crane Leonard Frey Molly Picon Paul Mann,Norman Jewison
Partition,Drama Foreign Romance,drama independent film,,Kristin Kreuk Jimi Mistry Neve Campbell John Light Irrfan Khan,Vic Sarin
That's My Boy,Comedy,deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest,The story of a child… and his son.,Adam Sandler Susan Sarandon Eva Amurri Martino Leighton Meester Andy Samberg,Sean Anders
Halloween,Horror Thriller,female nudity nudity mask babysitter halloween,The Night He Came Home,Donald Pleasence Jamie Lee Curtis P.J. Soles Nancy Kyes Nick Castle,John Carpenter
