title,genres,keywords,tagline,cast,director
Bad Grandpa,Comedy,duringcreditsstinger,Real people. Real reactions. Real messed up.,Johnny Knoxville Jackson Nicoll Georgina Cates Spike Jonze Catherine Keener,Jeff Tremaine
The Dog Lover,Drama,undercover dog animal welfare animal rights organization puppy mill,She ended up on the wrong side of right.,Allison Paige James Remar Lea Thompson Jayson Blair Sherry Stringfield,Alex Ranarivelo
Shallow Hal,Comedy Romance,overweight beauty hypnosis overweight man overweight woman,Are You A Shallow Guy?,Gwyneth Paltrow Jack Black Jason Alexander Joe Viterelli Bruce McGill,Bobby Farrelly
The Dukes of Hazzard,Action Adventure Comedy,sheriff farm bikini redneck moonshine,Cousins. Outlaws. Thrillbillies.,Johnny Knoxville Seann William Scott Jessica Simpson Willie Nelson Burt Reynolds,Jay Chandrasekhar
The Hunt,Drama,father son relationship denmark lie pedophilia kindergarten,The lie is spreading.,Mads Mikkelsen Alexandra Rapaport Thomas Bo Larsen Anne Louise Hassing Lars Ranthe,Thomas Vinterberg
The R.M.,Comedy Crime Family,,Just when you thought it was safe to go back into the world...,Kirby Heyborne,Kurt Hale
Hoop Dreams,Documentary,chicago sports team ghetto narration college,An Extraordinary True Story.,William Gates Arthur Agee Steve James,Steve James
American Wedding,Comedy Romance,handcuffs sister sister relationship spanner blow job stag night,Forever hold your piece.,Jason Biggs Alyson Hannigan Seann William Scott Eddie Kaye Thomas Thomas Ian Nicholas,Jesse Dylan
Ira & Abby,Comedy Romance,independent film,"First comes love, then comes marriage, then comes therapy.",Chris Messina Jennifer Westfeldt David Margulies Kali Rocha Kevin Sussman,Robert Cary
The 13th Warrior,Adventure Fantasy Action,witch cave arabian scandinavia bagdad,Prey for the living.,Antonio Banderas Vladimir Kulich Dennis Storh\u00f8i Daniel Southern Clive Russell,John McTiernan
Where the Wild Things Are,Family Fantasy,children's book igloo wolf costume swallowed whole hit with a rock,There's one in all of us.,Max Records Catherine Keener Lauren Ambrose James Gandolfini Catherine O'Hara,Spike Jonze
21 Jump Street,Action Comedy Crime,male friendship high school parody crude humor based on tv series,They thought the streets were mean. Then they went back to high school.,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,Phil Lord
Oculus,Horror,hallucination supernatural mirror skepticism ghost,You see what it wants you to see,Karen Gillan Brenton Thwaites Katee Sackhoff James Lafferty Rory Cochrane,Mike Flanagan
